gene_symbol,ensembl_id,chr,start,end,strand
Gm26206,ENSMUSG00000064842,1,3172239,3172348,+
Xkr4,ENSMUSG00000051951,1,3276124,3741721,-
Gm1992,ENSMUSG00000089699,1,3536794,3583776,+
Gm19938,ENSMUSG00000102331,1,3717532,3729127,-
Gm27396,ENSMUSG00000088333,1,3854099,3854156,-
Gm71132,ENSMUSG00000142494,1,3943429,4018627,+
Gm37381,ENSMUSG00000102343,1,3975962,4056438,-
Gm70642,ENSMUSG00000133908,1,4023806,4026747,-
Rp1,ENSMUSG00000025900,1,4069780,4479464,-
Gm70753,ENSMUSG00000135717,1,4437887,4482971,-
Gm70932,ENSMUSG00000139157,1,4502439,4503914,-
Sox17,ENSMUSG00000025902,1,4561154,4567577,-
Gm37587,ENSMUSG00000104238,1,4566774,4569786,+
Gm22307,ENSMUSG00000118917,1,4599240,4599346,+
Gm37323,ENSMUSG00000104328,1,4653335,4687803,-
Gm70763,ENSMUSG00000135930,1,4792576,4817539,+
Gm56275,ENSMUSG00002075947,1,4793500,4793602,-
Mrpl15,ENSMUSG00000033845,1,4843429,4855962,-
A930006A01Rik,ENSMUSG00000120403,1,4855979,4874316,+
Gm70766,ENSMUSG00000136002,1,4877487,4877953,-
Lypla1,ENSMUSG00000025903,1,4878011,4918633,+
Gm37988,ENSMUSG00000104217,1,4878115,4956993,+
Gm70868,ENSMUSG00000137875,1,4927487,4927854,-
Tcea1,ENSMUSG00000033813,1,4928037,4968132,+
Rgs20,ENSMUSG00000002459,1,4979799,5140508,-
Gm16041,ENSMUSG00000085623,1,5041080,5047043,+
Atp6v1h,ENSMUSG00000033793,1,5140241,5232752,+
Gm71170,ENSMUSG00000143188,1,5204974,5213367,-
Gm71178,ENSMUSG00000143351,1,5357817,5417356,+
Oprk1,ENSMUSG00000025905,1,5658689,5676354,+
Gm56304,ENSMUSG00002076544,1,5714868,5714968,-
Npbwr1,ENSMUSG00000033774,1,5983926,5987617,-
4732440D04Rik,ENSMUSG00000090031,1,6234353,6285517,-
Rb1cc1,ENSMUSG00000025907,1,6276421,6346872,+
Alkal1,ENSMUSG00000087247,1,6429442,6464955,+
Gm71332,ENSMUSG00000143943,1,6447707,6453291,-
Gm71043,ENSMUSG00000141243,1,6476015,6499052,-
St18,ENSMUSG00000033740,1,6557455,6931164,+
Gm57122,ENSMUSG00000120372,1,7157896,7159234,-
Pcmtd1,ENSMUSG00000051285,1,7159144,7243852,+
Gm70882,ENSMUSG00000138092,1,7194980,7200090,-
Gm70062,ENSMUSG00000126455,1,7244784,7277977,-
Gm70067,ENSMUSG00000126493,1,7276788,7278199,+
Gm23274,ENSMUSG00000077244,1,7336027,7336156,+
Gm26901,ENSMUSG00000097797,1,7384854,7468544,-
Gm30414,ENSMUSG00000103067,1,7568192,7588373,+
Gm39589,ENSMUSG00000132588,1,8159976,8192800,-
Gm70752,ENSMUSG00000135709,1,8359885,8369127,+
Gm70755,ENSMUSG00000135722,1,8392062,8392773,-
Sntg1,ENSMUSG00000025909,1,8431699,9370103,-
Gm69579,ENSMUSG00000123533,1,8547713,8550003,+
Gm54704,ENSMUSG00002074990,1,8658839,8658948,-
Gm54706,ENSMUSG00002075967,1,8886362,8886471,+
Gm69572,ENSMUSG00000123491,1,9006506,9012029,+
Gm30719,ENSMUSG00000135814,1,9507235,9508596,+
Gm24765,ENSMUSG00000065625,1,9528895,9528997,+
2610203C22Rik,ENSMUSG00000079671,1,9568871,9707225,-
Rrs1,ENSMUSG00000061024,1,9615633,9617680,+
Adhfe1,ENSMUSG00000025911,1,9618173,9650898,+
Vxn,ENSMUSG00000067879,1,9671424,9697368,+
Gm29520,ENSMUSG00000099827,1,9709480,9710807,-
Mybl1,ENSMUSG00000025912,1,9737640,9770434,-
Gm69538,ENSMUSG00000123215,1,9770772,9772671,+
Vcpip1,ENSMUSG00000045210,1,9788847,9818607,-
1700034P13Rik,ENSMUSG00000097893,1,9817072,9862153,+
Gm70310,ENSMUSG00000128816,1,9832546,9839302,-
Sgk3,ENSMUSG00000025915,1,9868332,9971070,+
Gm54812,ENSMUSG00002075801,1,9904723,9904827,-
Snhg6,ENSMUSG00000098234,1,9926809,10014504,-
Mcmdc2,ENSMUSG00000046101,1,9978863,10012310,+
Snord87,ENSMUSG00000093178,1,10012688,10012774,-
Tcf24,ENSMUSG00000099032,1,10030388,10038157,-
Ppp1r42,ENSMUSG00000025916,1,10038849,10079361,-
Gm15818,ENSMUSG00000087199,1,10052612,10062591,+
Gm57177,ENSMUSG00000121270,1,10060094,10062168,-
Gm24674,ENSMUSG00000119658,1,10080039,10080142,-
Cops5,ENSMUSG00000025917,1,10094826,10108393,-
Cspp1,ENSMUSG00000056763,1,10108212,10206993,+
Gm70832,ENSMUSG00000137212,1,10113063,10128198,-
Arfgef1,ENSMUSG00000067851,1,10207796,10302895,-
Gm70170,ENSMUSG00000127523,1,10303484,10306330,+
Gm69583,ENSMUSG00000123573,1,10353149,10364968,-
Cpa6,ENSMUSG00000042501,1,10394945,10790170,-
Gm70457,ENSMUSG00000130625,1,10548120,10638330,+
Gm25253,ENSMUSG00000119312,1,10625779,10625885,-
Gm71646,ENSMUSG00000137678,1,10684027,10765759,-
Gm69972,ENSMUSG00000125508,1,10924789,10927623,-
Gm70429,ENSMUSG00000130062,1,10950511,10959058,+
Gm54912,ENSMUSG00002076499,1,10991894,10991984,+
Prex2,ENSMUSG00000048960,1,11063689,11373905,+
Gm70185,ENSMUSG00000127757,1,11079866,11097138,+
Gm70186,ENSMUSG00000127802,1,11091428,11094036,-
Gm24173,ENSMUSG00000077318,1,11204335,11204462,-
Gm69426,ENSMUSG00000122491,1,11394841,11422796,+
Gm71166,ENSMUSG00000143092,1,11456071,11465776,-
A830018L16Rik,ENSMUSG00000057715,1,11484329,12046125,+
Gm70926,ENSMUSG00000139014,1,11689686,11694926,-
Gm70924,ENSMUSG00000138973,1,11761179,11768308,+
Gm30974,ENSMUSG00000134440,1,12098640,12131184,-
Gm71058,ENSMUSG00000141382,1,12303632,12385741,+
Gm22633,ENSMUSG00000118923,1,12445160,12445266,+
Mir6341,ENSMUSG00000098555,1,12496210,12496330,+
Gm71199,ENSMUSG00000143719,1,12535206,12591166,-
Gm17644,ENSMUSG00000097171,1,12737787,12760283,+
Gm29663,ENSMUSG00000101314,1,12740548,12747658,-
Sulf1,ENSMUSG00000016918,1,12762501,12931416,+
Gm70119,ENSMUSG00000127288,1,12867469,12884627,-
Slco5a1,ENSMUSG00000025938,1,12936773,13062874,-
Gm39592,ENSMUSG00000141815,1,13131913,13176156,-
Gm29283,ENSMUSG00000099498,1,13139045,13175975,+
Prdm14,ENSMUSG00000042414,1,13183681,13197387,-
Ncoa2,ENSMUSG00000005886,1,13209329,13444307,-
Gm55160,ENSMUSG00002076346,1,13332422,13332503,+
Gm70659,ENSMUSG00000134412,1,13395154,13404725,+
Gm23169,ENSMUSG00000087782,1,13404722,13404833,-
Gm70660,ENSMUSG00000134452,1,13431037,13437664,+
Gm29570,ENSMUSG00000101476,1,13442674,13458734,+
Gm70663,ENSMUSG00000134491,1,13444452,13444941,-
Gm39595,ENSMUSG00000122424,1,13462630,13538628,-
Gm70008,ENSMUSG00000126000,1,13558127,13564775,+
Tram1,ENSMUSG00000025935,1,13634922,13660134,-
Gm57152,ENSMUSG00000120948,1,13659704,13667319,+
Gm70508,ENSMUSG00000131318,1,13660930,13662293,-
Lactb2,ENSMUSG00000025937,1,13693554,13730770,-
Xkr9,ENSMUSG00000067813,1,13738995,13771947,+
Gm26273,ENSMUSG00000077368,1,13844558,13844688,-
Eya1,ENSMUSG00000025932,1,14239178,14380459,-
Gm55247,ENSMUSG00002075819,1,14252802,14252901,+
Gm70120,ENSMUSG00000127312,1,14482531,14535739,+
Gm70117,ENSMUSG00000127278,1,14483749,14558046,-
Gm71017,ENSMUSG00000140763,1,14626066,14631236,+
Gm71006,ENSMUSG00000140464,1,14702169,14704953,-
Gm70662,ENSMUSG00000134469,1,14803588,14809409,+
Gm9947,ENSMUSG00000054493,1,14823161,14866273,+
Msc,ENSMUSG00000025930,1,14823570,14826216,-
Trpa1,ENSMUSG00000032769,1,14942872,14989086,-
Gm26345,ENSMUSG00000088159,1,15089264,15089383,-
Gm69963,ENSMUSG00000125466,1,15272042,15321629,+
Kcnb2,ENSMUSG00000092083,1,15357478,15793974,+
Gm70219,ENSMUSG00000128216,1,15401852,15436255,-
Gm51617,ENSMUSG00000137925,1,15640786,15681020,-
Gm25227,ENSMUSG00000088829,1,15756159,15756270,-
Gm70576,ENSMUSG00000132707,1,15785607,15861946,-
Gm25168,ENSMUSG00000077377,1,15828056,15828187,+
Gm70578,ENSMUSG00000132745,1,15858637,15867509,+
Gm70582,ENSMUSG00000132786,1,15863420,15864828,-
Terf1,ENSMUSG00000025925,1,15875870,15914276,+
Sbspon,ENSMUSG00000032719,1,15924086,15962946,-
Gm70862,ENSMUSG00000137819,1,16065155,16096748,-
4930444P10Rik,ENSMUSG00000067795,1,16136203,16163549,-
Gm70800,ENSMUSG00000136711,1,16163557,16172645,+
Rpl7,ENSMUSG00000043716,1,16171519,16174886,-
Rdh10,ENSMUSG00000025921,1,16175998,16203958,+
Gm70554,ENSMUSG00000132226,1,16232522,16248784,+
Gm28095,ENSMUSG00000100868,1,16298730,16314286,+
Stau2,ENSMUSG00000025920,1,16298898,16590336,-
Gm7568,ENSMUSG00000089982,1,16323764,16413611,+
Ube2w,ENSMUSG00000025939,1,16611014,16689713,-
Eloc,ENSMUSG00000079658,1,16711949,16727266,-
D030040B21Rik,ENSMUSG00000097744,1,16727154,16732505,+
Tmem70,ENSMUSG00000025940,1,16735431,16748499,+
Gm69889,ENSMUSG00000125087,1,16750765,16759243,-
Ly96,ENSMUSG00000025779,1,16758275,16779835,+
Gm53492,ENSMUSG00000142287,1,16880184,16919453,+
Gm28376,ENSMUSG00000101640,1,16968409,17161855,+
Jph1,ENSMUSG00000042686,1,17034784,17168113,-
Gm31982,ENSMUSG00000127769,1,17168769,17194859,-
Gm28783,ENSMUSG00000100110,1,17193217,17199753,+
Gdap1,ENSMUSG00000025777,1,17215586,17234495,+
Gm28784,ENSMUSG00000099899,1,17238623,17243333,+
Gm39597,ENSMUSG00000138285,1,17273099,17275983,+
Gm71261,ENSMUSG00000137468,1,17408427,17465891,+
Gm70848,ENSMUSG00000137506,1,17464784,17484299,-
Gm25166,ENSMUSG00000089534,1,17590225,17590335,+
Pi15,ENSMUSG00000067780,1,17672125,17701163,+
Gm28154,ENSMUSG00000100053,1,17685308,17711305,-
Gm16070,ENSMUSG00000085125,1,17746251,17797870,-
