gene_symbol,ensembl_id,chr,start,end,strand
WASH7P,ENSG00000310526,1,14356,30744,-
MIR6859-1,ENSG00000278267,1,17369,17436,-
MIR1302-2HG,ENSG00000243485,1,28589,31109,+
MIR1302-2,ENSG00000284332,1,30366,30503,+
FAM138A,ENSG00000237613,1,34553,37595,-
OR4F5,ENSG00000186092,1,65419,71585,+
RNU6-1100P,ENSG00000222623,1,157784,157887,-
MIR6859-2,ENSG00000273874,1,187891,187958,-
OR4F29,ENSG00000284733,1,450740,451678,-
LINC00115,ENSG00000225880,1,586945,827989,-
OR4F16,ENSG00000284662,1,685716,686654,-
RNU6-1199P,ENSG00000223181,1,758233,758336,-
LINC01409,ENSG00000237491,1,778739,810066,+
FAM87B,ENSG00000177757,1,817363,819842,+
LINC01128,ENSG00000228794,1,825138,868835,+
FAM41C,ENSG00000230368,1,868052,877032,-
LINC02593,ENSG00000223764,1,916865,925614,-
SAMD11,ENSG00000187634,1,923923,944575,+
NOC2L,ENSG00000188976,1,943527,960714,-
KLHL17,ENSG00000187961,1,960576,965719,+
PLEKHN1,ENSG00000187583,1,966437,975865,+
PERM1,ENSG00000187642,1,975194,982134,-
HES4,ENSG00000188290,1,998962,1000172,-
ISG15,ENSG00000187608,1,1001138,1014540,+
AGRN,ENSG00000188157,1,1020120,1056119,+
RNF223,ENSG00000237330,1,1070967,1074306,-
C1orf159,ENSG00000131591,1,1081811,1116361,-
LINC01342,ENSG00000223823,1,1137017,1144056,+
MIR200B,ENSG00000207730,1,1167104,1167198,+
MIR200A,ENSG00000207607,1,1167863,1167952,+
MIR429,ENSG00000198976,1,1169005,1169087,+
TTLL10-AS1,ENSG00000205231,1,1173056,1179555,-
TTLL10,ENSG00000162571,1,1173880,1197940,+
TNFRSF18,ENSG00000186891,1,1203508,1206592,-
TNFRSF4,ENSG00000186827,1,1211326,1214153,-
SDF4,ENSG00000078808,1,1216887,1238870,-
B3GALT6,ENSG00000176022,1,1232237,1235041,+
C1QTNF12,ENSG00000184163,1,1242446,1246722,-
UBE2J2,ENSG00000160087,1,1253907,1274477,-
LINC01786,ENSG00000230415,1,1274033,1280420,+
SCNN1D,ENSG00000162572,1,1280436,1292029,+
ACAP3,ENSG00000131584,1,1292376,1309609,-
MIR6726,ENSG00000278073,1,1296110,1296170,-
PUSL1,ENSG00000169972,1,1308567,1311677,+
INTS11,ENSG00000127054,1,1311585,1324687,-
MIR6727,ENSG00000283712,1,1312502,1312566,-
CPTP,ENSG00000224051,1,1324756,1328897,+
TAS1R3,ENSG00000169962,1,1331280,1335314,+
DVL1,ENSG00000107404,1,1335276,1349945,-
MIR6808,ENSG00000284372,1,1339650,1339708,-
MXRA8,ENSG00000162576,1,1352689,1361777,-
AURKAIP1,ENSG00000175756,1,1373729,1375521,-
CCNL2,ENSG00000221978,1,1385711,1399339,-
MRPL20-AS1,ENSG00000224870,1,1399476,1402054,+
MRPL20,ENSG00000242485,1,1401908,1407306,-
MRPL20-DT,ENSG00000272455,1,1409096,1410618,+
ANKRD65,ENSG00000235098,1,1415637,1421769,-
ANKRD65-AS1,ENSG00000225905,1,1420245,1423287,+
TMEM88B,ENSG00000205116,1,1425871,1430255,+
LINC01770,ENSG00000225285,1,1429194,1435625,-
VWA1,ENSG00000179403,1,1434861,1442882,+
ATAD3C,ENSG00000215915,1,1449689,1470163,+
ATAD3B,ENSG00000160072,1,1471756,1497848,+
ATAD3A,ENSG00000197785,1,1512147,1534686,+
TMEM240,ENSG00000205090,1,1534778,1540624,-
SSU72,ENSG00000160075,1,1541673,1574884,-
SSU72-AS1,ENSG00000215014,1,1574102,1577075,+
FNDC10,ENSG00000228594,1,1598012,1600135,-
MIB2,ENSG00000197530,1,1615434,1630610,+
MMP23B,ENSG00000189409,1,1631665,1635263,+
CDK11B,ENSG00000248333,1,1635225,1659234,-
SLC35E2B,ENSG00000189339,1,1659529,1693017,-
CDK11A,ENSG00000008128,1,1702379,1724482,-
NADK,ENSG00000008130,1,1751232,1780544,-
GNB1,ENSG00000078369,1,1785285,1892292,-
GNB1-DT,ENSG00000231050,1,1891175,1892835,+
CALML6,ENSG00000169885,1,1915108,1917296,+
TMEM52,ENSG00000178821,1,1917589,1919329,-
CFAP74,ENSG00000142609,1,1921951,2003837,-
GABRD,ENSG00000187730,1,2019329,2030758,+
PRKCZ-DT,ENSG00000226969,1,2049202,2050176,-
PRKCZ,ENSG00000067606,1,2050411,2185395,+
PRKCZ-AS1,ENSG00000182873,1,2181794,2184389,-
FAAP20,ENSG00000162585,1,2184461,2212720,-
SKI,ENSG00000157933,1,2227388,2310213,+
MORN1,ENSG00000116151,1,2319208,2391707,-
RER1,ENSG00000157916,1,2390670,2405444,+
PEX10,ENSG00000157911,1,2403964,2413797,-
PLCH2,ENSG00000149527,1,2425980,2505532,+
PANK4,ENSG00000157881,1,2508534,2526612,-
HES5,ENSG00000197921,1,2528745,2530263,-
TNFRSF14-AS1,ENSG00000238164,1,2540861,2557059,-
TNFRSF14,ENSG00000157873,1,2554244,2565382,+
PRXL2B,ENSG00000157870,1,2586491,2591470,+
MMEL1,ENSG00000142606,1,2590639,2633016,-
MMEL1-AS1,ENSG00000237058,1,2628688,2636624,+
TTC34,ENSG00000215912,1,2636986,2801693,-
ACTRT2,ENSG00000169717,1,3021467,3022903,+
PRDM16-DT,ENSG00000177133,1,3059564,3070251,-
PRDM16,ENSG00000142611,1,3069168,3438621,+
MIR4251,ENSG00000283572,1,3127975,3128035,+
ARHGEF16,ENSG00000130762,1,3454550,3481127,+
MEGF6,ENSG00000162591,1,3487942,3611543,-
MIR551A,ENSG00000207776,1,3560695,3560790,-
TPRG1L,ENSG00000158109,1,3624979,3630131,+
WRAP73,ENSG00000116213,1,3630767,3652761,-
TP73,ENSG00000078900,1,3652516,3736201,+
TP73-AS3,ENSG00000227589,1,3658938,3668772,-
TP73-AS2,ENSG00000235131,1,3712200,3714298,-
GFOD3P,ENSG00000293478,1,3735511,3747373,-
CCDC27,ENSG00000162592,1,3746460,3771645,+
SMIM1,ENSG00000235169,1,3772655,3776709,+
LRRC47,ENSG00000130764,1,3778559,3796511,-
CEP104,ENSG00000116198,1,3812086,3857723,-
DFFB,ENSG00000169598,1,3857267,3885429,+
C1orf174,ENSG00000198912,1,3889125,3900293,-
LINC01134,ENSG00000236423,1,3900187,3917547,+
LINC01346,ENSG00000233304,1,3940486,3955262,+
LINC01345,ENSG00000226374,1,3944547,3949024,-
LINC02780,ENSG00000284668,1,3976133,4093062,+
LINC01777,ENSG00000235054,1,4412027,4424689,+
LINC01646,ENSG00000232596,1,4571481,4594016,+
AJAP1,ENSG00000196581,1,4654609,4792534,+
LINC02781,ENSG00000284674,1,4973381,4981568,+
LINC02782,ENSG00000231510,1,5086459,5090899,-
MIR4689,ENSG00000264101,1,5862672,5862741,-
NPHP4,ENSG00000131697,1,5862804,5993455,-
KCNAB2,ENSG00000069424,1,5990927,6101193,+
CHD5,ENSG00000116254,1,6101787,6180321,-
RPL22,ENSG00000116251,1,6185020,6209389,-
RNF207-AS1,ENSG00000226944,1,6204835,6206041,-
RNF207,ENSG00000158286,1,6205392,6221299,+
ICMT,ENSG00000116237,1,6221193,6235972,-
ICMT-DT,ENSG00000225077,1,6234692,6239448,+
HES3,ENSG00000173673,1,6244179,6245578,+
GPR153,ENSG00000158292,1,6247347,6261098,-
ACOT7,ENSG00000097021,1,6264268,6393767,-
HES2,ENSG00000069812,1,6412418,6424690,-
ESPN,ENSG00000187017,1,6424776,6461367,+
MIR4252,ENSG00000265392,1,6429834,6429896,-
TNFRSF25,ENSG00000215788,1,6460786,6466181,-
PLEKHG5,ENSG00000171680,1,6467122,6520074,-
NOL9,ENSG00000162408,1,6521347,6554536,-
RNU6-731P,ENSG00000253022,1,6540854,6540964,+
TAS1R1,ENSG00000173662,1,6555307,6579755,+
ZBTB48,ENSG00000204859,1,6579994,6589280,+
KLHL21,ENSG00000162413,1,6590724,6614607,-
PHF13,ENSG00000116273,1,6613731,6624030,+
THAP3,ENSG00000041988,1,6624845,6635586,+
DNAJC11,ENSG00000007923,1,6634168,6701924,-
LINC01672,ENSG00000228750,1,6724626,6730012,+
CAMTA1-DT,ENSG00000237436,1,6783892,6784843,-
CAMTA1,ENSG00000171735,1,6785454,7769706,+
CAMTA1-AS3,ENSG00000237365,1,7008376,7014279,-
RNU1-8P,ENSG00000207056,1,7219360,7219524,+
CAMTA1-IT1,ENSG00000237402,1,7312886,7370277,+
CAMTA1-AS2,ENSG00000237728,1,7379384,7389915,-
CAMTA1-AS1,ENSG00000225126,1,7440491,7441612,-
VAMP3,ENSG00000049245,1,7771296,7781432,+
PER3,ENSG00000049246,1,7784291,7845181,+
UTS2,ENSG00000049247,1,7843083,7853512,-
TNFRSF9,ENSG00000049249,1,7915871,7943165,-
PARK7,ENSG00000116288,1,7954264,7985505,+
ERRFI1,ENSG00000116285,1,8004404,8026312,-
ERRFI1-DT,ENSG00000238290,1,8026413,8187014,+
LINC01714,ENSG00000227634,1,8158695,8215242,+
RNU1-7P,ENSG00000200975,1,8206434,8206597,-
RNU6-991P,ENSG00000251977,1,8292157,8292263,-
SLC45A1,ENSG00000162426,1,8318104,8344167,+
RERE,ENSG00000142599,1,8352397,8848921,-
RERE-AS1,ENSG00000232912,1,8424645,8435013,+
ENO1,ENSG00000074800,1,8860977,8879289,-
MIR6728,ENSG00000274258,1,8866502,8866590,-
ENO1-AS1,ENSG00000230679,1,8878464,8880122,+
RNU6-304P,ENSG00000201725,1,8883427,8883533,-
CA6,ENSG00000131686,1,8945867,8975092,+
SLC2A7,ENSG00000197241,1,9002973,9026423,-
SLC2A5,ENSG00000142583,1,9035106,9088478,-
GPR157,ENSG00000180758,1,9100305,9129122,-
MIR34AHG,ENSG00000228526,1,9139555,9202826,-
MIR34A,ENSG00000284357,1,9151668,9151777,-
LNCTAM34A,ENSG00000234546,1,9181588,9198023,+
H6PD,ENSG00000049239,1,9234774,9271337,+
SPSB1,ENSG00000171621,1,9292101,9369532,+
LINC02606,ENSG00000284693,1,9425094,9455910,-
SLC25A33,ENSG00000171612,1,9539465,9585173,+
TMEM201,ENSG00000188807,1,9588721,9614877,+
PIK3CD,ENSG00000171608,1,9629889,9730117,+
PIK3CD-AS1,ENSG00000179840,1,9652610,9654586,-
PIK3CD-AS2,ENSG00000231789,1,9672405,9687604,-
CLSTN1,ENSG00000171603,1,9728926,9823993,-
CTNNBIP1,ENSG00000178585,1,9848269,9910368,-
CTNNBIP1-AS1,ENSG00000223989,1,9848318,9850154,+
LZIC,ENSG00000162441,1,9922113,9943407,-
NMNAT1,ENSG00000173614,1,9943428,9985501,+
MIR5697,ENSG00000265521,1,9967381,9967458,+
RBP7,ENSG00000162444,1,9997054,10016021,+
UBE4B,ENSG00000130939,1,10032832,10181244,+
RNU6-828P,ENSG00000201746,1,10163268,10163374,+
KIF1B,ENSG00000054523,1,10210533,10381606,+
RNU6-37P,ENSG00000199562,1,10298966,10299072,+
PGD,ENSG00000142657,1,10398592,10420511,+
CENPS-CORT,ENSG00000251503,1,10430102,10452153,+
CENPS,ENSG00000175279,1,10430433,10442808,+
CORT,ENSG00000241563,1,10450031,10451998,+
DFFA,ENSG00000160049,1,10456522,10472549,-
PEX14,ENSG00000142655,1,10472288,10630758,+
CASZ1,ENSG00000130940,1,10636604,10796650,-
CIROZ,ENSG00000175262,1,10946471,10982076,-
TARDBP,ENSG00000120948,1,11012344,11030528,+
MASP2,ENSG00000009724,1,11022009,11047241,-
SRM,ENSG00000116649,1,11054584,11060053,-
EXOSC10-AS1,ENSG00000230337,1,11060228,11102105,+
EXOSC10,ENSG00000171824,1,11066613,11099898,-
MTOR,ENSG00000198793,1,11106531,11262556,-
MTOR-AS1,ENSG00000225602,1,11143898,11149537,+
RNU6-537P,ENSG00000253086,1,11152350,11152452,+
ANGPTL7,ENSG00000171819,1,11189355,11195981,+
RNU6-291P,ENSG00000207451,1,11226254,11226360,+
UBIAD1,ENSG00000120942,1,11273198,11296049,+
DISP3,ENSG00000204624,1,11478905,11537583,+
LINC01647,ENSG00000235643,1,11609468,11613358,+
FBXO2,ENSG00000116661,1,11637018,11655785,-
FBXO44,ENSG00000132879,1,11650618,11663327,+
MAD2L2,ENSG00000116670,1,11657230,11692605,-
FBXO6,ENSG00000116663,1,11664189,11674354,+
DRAXIN,ENSG00000162490,1,11690958,11725857,+
AGTRAP,ENSG00000177674,1,11736084,11754802,+
C1orf167,ENSG00000215910,1,11761787,11789585,+
C1orf167-AS1,ENSG00000177553,1,11777077,11779619,-
MTHFR,ENSG00000177000,1,11785723,11806455,-
CLCN6,ENSG00000011021,1,11806096,11848079,+
NPPA,ENSG00000175206,1,11845709,11848345,-
NPPB,ENSG00000120937,1,11857464,11858976,-
RNU5E-1,ENSG00000199347,1,11908152,11908272,+
RNU5E-4P,ENSG00000201801,1,11909808,11909927,-
KIAA2013,ENSG00000116685,1,11919591,11926428,-
PLOD1,ENSG00000083444,1,11934205,11975542,+
MFN2,ENSG00000116688,1,11980181,12015211,+
MIIP,ENSG00000116691,1,12019466,12032046,+
MIR6729,ENSG00000276869,1,12029158,12029222,+
TNFRSF8,ENSG00000120949,1,12063303,12144207,+
