human_ensembl_id,mouse_ensembl_id,human_gene_symbol,mouse_gene_symbol
ENSG00000168887,ENSMUSG00000058706,C2orf68,0610030E20Rik
ENSG00000248713,ENSMUSG00000090066,C4orf54,1110002E22Rik
ENSG00000110696,ENSMUSG00000030663,C11orf58,1110004F10Rik
ENSG00000180044,ENSMUSG00000046999,C3orf80,1110032F04Rik
ENSG00000182307,ENSMUSG00000063236,C8orf33,1110038F14Rik
ENSG00000155621,ENSMUSG00000035171,C9orf85,1110059E24Rik
ENSG00000163807,ENSMUSG00000032551,KIAA1143,1110059G10Rik
ENSG00000197982,ENSMUSG00000078570,C1orf122,1110065P20Rik
ENSG00000154102,ENSMUSG00000043687,C16orf74,1190005I06Rik
ENSG00000235162,ENSMUSG00000087651,C12orf75,1500009L16Rik
ENSG00000185127,ENSMUSG00000050088,C6orf120,1600012H06Rik
ENSG00000131943,ENSMUSG00000054676,C19orf12,1600014C10Rik
ENSG00000228372,ENSMUSG00000085114,SMIM10L2B-AS1,1600025M17Rik
ENSG00000179058,ENSMUSG00000044320,C9orf50,1700001O22Rik
ENSG00000284308,ENSMUSG00000030030,C2orf81,1700003E16Rik
ENSG00000149609,ENSMUSG00000038523,C20orf144,1700003F12Rik
ENSG00000235034,ENSMUSG00000008028,C19orf81,1700008O03Rik
ENSG00000112539,ENSMUSG00000023873,C6orf118,1700010I14Rik
ENSG00000237136,ENSMUSG00000031682,C4orf51,1700011L22Rik
ENSG00000257057,ENSMUSG00000031927,C11orf97,1700012B09Rik
ENSG00000139351,ENSMUSG00000054727,SYCP3,1700013H16Rik
ENSG00000163633,ENSMUSG00000029320,C4orf36,1700016H13Rik
ENSG00000167173,ENSMUSG00000032300,C15orf39,1700017B05Rik
ENSG00000165805,ENSMUSG00000056912,C12orf50,1700017N19Rik
ENSG00000260456,ENSMUSG00000031809,C16orf95,1700018B08Rik
ENSG00000187699,ENSMUSG00000043629,C2orf88,1700019D03Rik
ENSG00000270806,ENSMUSG00000035085,C17orf50,1700020L24Rik
ENSG00000178645,ENSMUSG00000072473,C10orf53,1700024G13Rik
ENSG00000116667,ENSMUSG00000032666,C1orf21,1700025G04Rik
ENSG00000203910,ENSMUSG00000089798,C1orf146,1700028K03Rik
ENSG00000283199,ENSMUSG00000031452,C13orf46,1700029H14Rik
ENSG00000166455,ENSMUSG00000031847,C16orf46,1700030J22Rik
ENSG00000105072,ENSMUSG00000052794,C19orf44,1700030K09Rik
ENSG00000250803,ENSMUSG00000024532,ZNF475,1700034E13Rik
ENSG00000214700,ENSMUSG00000040163,C12orf71,1700034J05Rik
ENSG00000215131,ENSMUSG00000005983,C16orf90,1700037C18Rik
ENSG00000206053,ENSMUSG00000043859,JPT2,1700049L16Rik
ENSG00000178074,ENSMUSG00000038323,C2orf69,1700066M21Rik
ENSG00000188032,ENSMUSG00000046408,C19orf67,1700067K01Rik
ENSG00000128346,ENSMUSG00000033029,C22orf23,1700088E04Rik
ENSG00000237651,ENSMUSG00000020286,C2orf74,1700093K21Rik
ENSG00000188315,ENSMUSG00000032611,C3orf62,1700102P08Rik
ENSG00000179088,ENSMUSG00000047129,C12orf42,1700113H08Rik
ENSG00000179933,ENSMUSG00000040822,C14orf119,1700123O20Rik
ENSG00000278615,ENSMUSG00000071653,C11orf98,1810009A15Rik
ENSG00000186665,ENSMUSG00000078607,C17orf58,1810010H24Rik
ENSG00000185753,ENSMUSG00000044148,CXorf38,1810030O07Rik
ENSG00000171067,ENSMUSG00000035372,C11orf24,1810055G02Rik
ENSG00000173237,ENSMUSG00000042041,C11orf86,2010003K11Rik
ENSG00000167644,ENSMUSG00000030587,C19orf33,2200002D01Rik
ENSG00000157895,ENSMUSG00000029559,C12orf43,2210016L21Rik
ENSG00000285946,ENSMUSG00000103523,LCE7A,2210017I01Rik
ENSG00000185261,ENSMUSG00000071252,KIAA0825,2210408I21Rik
ENSG00000204542,ENSMUSG00000039269,C6orf15,2300002M23Rik
ENSG00000189227,ENSMUSG00000032403,C15orf61,2300009A05Rik
ENSG00000203724,ENSMUSG00000079283,C1orf53,2310009B15Rik
ENSG00000119559,ENSMUSG00000020133,C19orf25,2310011J03Rik
ENSG00000160392,ENSMUSG00000049643,C19orf47,2310022A10Rik
ENSG00000119280,ENSMUSG00000031983,C1orf198,2310022B05Rik
ENSG00000149300,ENSMUSG00000032062,C11orf52,2310030G06Rik
ENSG00000143793,ENSMUSG00000020441,C1orf35,2310033P09Rik
ENSG00000120055,ENSMUSG00000099655,C10orf95,2310034G01Rik
ENSG00000184530,ENSMUSG00000015519,C6orf58,2310057J18Rik
ENSG00000119965,ENSMUSG00000040177,C10orf88,2310057M21Rik
ENSG00000204564,ENSMUSG00000050705,C6orf136,2310061I04Rik
ENSG00000162642,ENSMUSG00000036873,C1orf52,2410004B18Rik
ENSG00000242259,ENSMUSG00000071632,C22orf39,2510002D24Rik
ENSG00000187068,ENSMUSG00000043391,C3orf70,2510009E07Rik
ENSG00000116685,ENSMUSG00000044496,KIAA2013,2510039O18Rik
ENSG00000160298,ENSMUSG00000009114,C21orf58,2610028H24Rik
